comp_id,exit,sales_log,employees_log,profit_margin,age,liquidity,foreign,female_ceo,industry,urban
1002029,0,13.943477010618471,-0.7801586008984086,0.00855441743008423,6,1.692773574955779,0,0,27,0
1011889,0,12.980031444806547,0.48317409466369166,0.2231018921286965,20,8.469447886798529,0,0,55,0
1014183,0,11.773207816163303,-0.3350842928284171,-0.01812887121972964,11,24.160250179046656,0,0,55,0
1018301,0,8.81317405861195,-1.8787708570548929,-0.164738284597255,8,3.056249965882301,0,0,56,0
1022796,0,10.169548701060647,-2.4849066199856784,-0.05024126948986416,11,0.9078516421624832,0,0,56,1
1035705,0,10.086888767175159,-2.261763050790076,-0.33297364159191967,1,1.0968523292265748,0,0,56,0
1046213,0,15.500015404030096,2.061927965926875,0.02041311298983085,14,1.9636670746634026,1,0,29,0
1056952,0,7.167266450053159,-1.791759439425733,-1,5,0.06732246769634598,0,0,56,0
1070690,0,8.592094459318735,-2.4849066199856784,0.37113403556435387,2,6.749999903061812,0,0,56,1
1109346,0,10.428106515557742,-1.4201958799102512,0.029698628758906186,4,11.873314905322875,0,0,27,0
1124461,0,10.899889379168446,0.2762534177348089,0.050731574066629335,2,1.0464246521166127,0,0,41,1
1272750,0,11.802993633741147,-0.842678922221831,0.018594468601902867,1,2.1386465913484756,0,1,55,1
1340059,1,10.440305705829376,-2.3978952429960487,-0.11984411131069905,2,0.35994764939979446,0,1,56,1
1388236,0,12.66869962233343,-1.3862943611198906,0.23198274309202763,4,3.7107137793801175,0,0,28,0
1503918,0,10.033540661729448,-2.4849066199856784,-0.5400000102896343,16,0.04979483261032403,0,0,56,1
1627539,1,11.35531816687383,-2.4849066199856784,-0.25261241296301207,1,0.4897000675952482,1,0,56,0
1645853,0,11.179987755790982,-1.4816045111218936,0.016172367068727433,23,1.0995807713825907,0,0,55,0
1659112,0,7.061905923932162,-1.3862943611198906,-1,2,0.22273191618432653,0,0,56,0
1814751,0,9.606627685383684,-2.4849066199856784,0.07276351648530711,2,3.644970488056268,0,1,56,0
1840310,0,11.916858566822526,-0.042559572954696076,-0.10786883363323688,10,0.788382761659436,0,0,56,0
1885666,1,9.204396865375305,-2.4849066199856784,0.08792846309266858,3,0.558940033846379,0,1,56,0
1988363,0,13.413871496197192,0.6720937916530557,0.0041009460398806225,9,0.45637057460694797,0,0,96,1
2007586,0,9.532960482691571,-2.4849066199856784,0.18857295729442097,13,4.4583334906896015,0,1,56,0
2293689,0,11.007087382715277,-1.8343190732808259,0.00196548120299382,3,0.6344827282331872,0,0,56,0
2371138,0,8.9006903765416,-1.791759439425733,0.004543159802091699,3,4.827338315435498,1,0,56,0
2407000,0,10.806355237684562,-2.0253742953128677,0.01118618680218504,2,0.8480295909532476,0,0,56,0
2454300,0,10.924872123888177,-1.3862943611198906,-0.04461189632047983,1,0.5004452251031121,0,0,56,0
2587773,0,10.29427760314553,-1.8343190732808259,0.04434978621172488,3,0.7753872964385576,0,0,56,0
2705005,0,11.897809818119391,-0.4401506941452994,0,21,3.133049854916391,0,0,33,0
2904923,0,10.662821157170066,-1.8787708570548929,-0.08146286780502969,5,0.5823655914222381,0,1,56,0
2929590,0,10.503137703462942,-1.791759439425733,0.0706588030647701,20,9.22895596590909,0,0,56,1
2959476,0,12.613560394221048,-0.6793539106837377,0.14210734214486773,12,28.715902235020614,0,0,28,1
3080595,0,12.908500687849347,-0.05448819482081294,0.07693084144029559,21,2.3199578624518757,0,0,28,1
3101911,0,17.523330699383372,3.0553759923662778,0.10210512743724691,1,2.3259833960194625,1,0,29,0
3228704,0,13.366876954454732,0.9549284884344778,-0.14583369224745496,19,0.9741806579013035,0,0,56,0
3258033,0,10.796623360064885,-2.0495886065793996,-1,8,0.726335919013545,1,0,55,1
3298228,1,10.129146453329739,-2.4849066199856784,0.007832126473739535,16,22.479553821131596,0,0,28,0
